# index, name, _pos
217,232,"array([-0.88805809,  1.48197331])"
218,233,"array([-0.87367302,  1.48242561])"
219,272,"array([-0.8824776 ,  1.47450524])"
220,299,"array([-0.89811539,  1.472986  ])"
221,302,"array([-0.88904051,  1.48352531])"
222,306,"array([-0.90372498,  1.48528683])"
223,312,"array([-0.88866658,  1.47670696])"
224,325,"array([-0.90078619,  1.49406614])"
225,331,"array([-0.90019646,  1.47630422])"
226,334,"array([-0.89334085,  1.47285399])"
227,337,"array([-0.87763657,  1.47005619])"
228,362,"array([-0.88592865,  1.48909255])"
229,366,"array([-0.88386316,  1.47900333])"
230,368,"array([-0.89704864,  1.48924805])"
231,371,"array([-0.89710209,  1.47349915])"
232,388,"array([-0.89607466,  1.47724941])"
233,390,"array([-0.90152676,  1.47950282])"
234,409,"array([-0.8938635 ,  1.46477474])"
235,427,"array([-0.8862073 ,  1.46364665])"
236,438,"array([-0.89378033,  1.47432194])"
237,439,"array([-0.88413527,  1.47037754])"
238,450,"array([-0.90310242,  1.48413225])"
239,453,"array([-0.90534648,  1.49431412])"
240,454,"array([-0.90174576,  1.47868114])"
241,465,"array([-0.88256485,  1.48906994])"
242,469,"array([-0.88418605,  1.46939388])"
243,474,"array([-0.88533958,  1.47717046])"
244,482,"array([-0.9100683 ,  1.46754962])"
245,488,"array([-0.86946407,  1.47327499])"
246,494,"array([-0.88576198,  1.46609033])"
247,506,"array([-0.88824832,  1.48095608])"
248,508,"array([-0.88417228,  1.48416379])"
249,546,"array([-0.88465347,  1.47781963])"
250,550,"array([-0.896303  ,  1.49310143])"
251,555,"array([-0.90402495,  1.48165289])"
252,561,"array([-0.88836162,  1.479821  ])"
253,582,"array([-0.89953035,  1.47858412])"
254,598,"array([-0.88777797,  1.47739668])"
255,618,"array([-0.88775191,  1.48372227])"
256,623,"array([-0.87307574,  1.47323955])"
257,628,"array([-0.89635871,  1.47118846])"
258,644,"array([-0.89987828,  1.47563058])"
259,652,"array([-0.8883723 ,  1.48424101])"
260,655,"array([-0.87722077,  1.47968183])"
261,677,"array([-0.88804848,  1.45031529])"
262,704,"array([-0.88632215,  1.45940904])"
263,726,"array([-0.89443341,  1.47455932])"
264,733,"array([-0.89428216,  1.48924553])"
265,769,"array([-0.88993984,  1.47542951])"
266,770,"array([-0.88610159,  1.48538964])"
267,772,"array([-0.88391982,  1.4773082 ])"
268,773,"array([-0.88826211,  1.48701358])"
269,779,"array([-0.89043574,  1.48437049])"
270,786,"array([-0.88972194,  1.49124441])"
271,798,"array([-0.88613369,  1.47832766])"
272,819,"array([-0.87758427,  1.49253362])"
273,822,"array([-0.90097403,  1.49299818])"
274,833,"array([-0.9032451 ,  1.45719518])"
275,851,"array([-0.89523433,  1.47277333])"
276,860,"array([-0.83652939,  1.48962923])"
277,861,"array([-0.88905476,  1.50197657])"
278,912,"array([-0.89085232,  1.4772216 ])"
279,917,"array([-0.91510551,  1.50868428])"
280,929,"array([-0.90279058,  1.47709004])"
281,943,"array([-0.91350343,  1.47644687])"
282,958,"array([-0.87257666,  1.47492863])"
283,976,"array([-0.90344515,  1.47773762])"
284,1023,"array([-0.92050456,  1.49058059])"
285,1035,"array([-0.86636325,  1.42932338])"
286,1079,"array([-0.88614445,  1.46961196])"
287,1115,"array([-0.8555559 ,  1.48255564])"
288,1120,"array([-0.88624271,  1.48228269])"
289,1131,"array([-0.89404855,  1.47833458])"
290,1168,"array([-0.89346517,  1.49103029])"
291,1172,"array([-0.89088887,  1.47016268])"
292,1175,"array([-0.88651815,  1.48691843])"
293,1177,"array([-0.86032036,  1.47966465])"
294,1182,"array([-0.9029366 ,  1.47433293])"
295,1195,"array([-0.87341294,  1.48459659])"
296,1209,"array([-0.90184374,  1.4972649 ])"
297,1229,"array([-0.8864045 ,  1.47738914])"
298,1242,"array([-0.89703886,  1.48818771])"
299,1276,"array([-0.88860992,  1.48926488])"
300,1279,"array([-0.84885818,  1.47142544])"
301,1306,"array([-0.90187286,  1.46335174])"
302,1339,"array([-0.90004009,  1.47125656])"
303,1375,"array([-0.90323433,  1.48066039])"
304,1427,"array([-0.90421227,  1.47586581])"
305,1434,"array([-0.87379487,  1.47699559])"
306,1510,"array([-0.8983255 ,  1.46505462])"
307,1515,"array([-0.91679567,  1.48627738])"
308,1552,"array([-0.90610901,  1.49015458])"
309,1560,"array([-0.88954289,  1.50349108])"
310,1576,"array([-0.90055169,  1.48952856])"
311,1609,"array([-0.88168358,  1.46485912])"
312,1642,"array([-0.89184621,  1.46981256])"
313,1646,"array([-0.86592374,  1.48585062])"
314,1677,"array([-0.89170629,  1.52638305])"
315,1711,"array([-0.89037324,  1.50782323])"
316,1747,"array([-0.90121854,  1.5052431 ])"
317,1756,"array([-0.883094  ,  1.48579752])"
318,1765,"array([-0.88198163,  1.48365   ])"
319,1776,"array([-0.8989103,  1.4772414])"
320,1794,"array([-0.89342217,  1.4834366 ])"
321,1839,"array([-0.83717199,  1.48087626])"
322,1889,"array([-0.90501254,  1.46479026])"
323,1901,"array([-0.88234763,  1.47122192])"
324,1955,"array([-0.90957146,  1.478492  ])"
325,1957,"array([-0.89897522,  1.46701549])"
326,1980,"array([-0.88431017,  1.48271583])"
327,1999,"array([-0.8661358 ,  1.44564402])"
328,2003,"array([-0.87580461,  1.47700989])"
329,2014,"array([-0.85185639,  1.51547497])"
330,2152,"array([-0.8747403 ,  1.44441531])"
331,2165,"array([-0.8774111 ,  1.48763384])"
332,2168,"array([-0.90134349,  1.51377072])"
333,2259,"array([-0.9129408 ,  1.47872062])"
334,2275,"array([-0.88584002,  1.50333367])"
335,2295,"array([-0.89418404,  1.44289561])"
336,2308,"array([-0.90847376,  1.4779253 ])"
337,2358,"array([-0.88336223,  1.46598415])"
338,2364,"array([-0.87431439,  1.46755972])"
339,2384,"array([-0.88535415,  1.47224065])"
340,2406,"array([-0.8658014 ,  1.44933761])"
341,2447,"array([-0.88803522,  1.49157072])"
342,2448,"array([-0.89533413,  1.49468441])"
343,2467,"array([-0.88641589,  1.46759592])"
344,2497,"array([-0.91132675,  1.47584718])"
345,2532,"array([-0.86419922,  1.45564167])"
346,2554,"array([-0.89039159,  1.46517224])"
347,2567,"array([-0.88468639,  1.46235667])"
348,2600,"array([-0.85669961,  1.505569  ])"
349,2601,"array([-0.87527185,  1.51281489])"
350,2683,"array([-0.86376594,  1.43593563])"
351,2715,"array([-0.90841343,  1.49049093])"
352,2945,"array([-0.89829132,  1.45794565])"
353,3000,"array([-0.87321225,  1.4834312 ])"
354,3020,"array([-0.86799298,  1.46606034])"
355,3079,"array([-0.85102033,  1.45575791])"
356,3188,"array([-0.89018648,  1.45989864])"
357,3200,"array([-0.88670097,  1.48831699])"
358,3232,"array([-0.86939186,  1.50511453])"
359,3258,"array([-0.89360552,  1.46294812])"
360,3267,"array([-0.89625026,  1.48200401])"
361,3270,"array([-0.85761271,  1.49444132])"
362,3276,"array([-0.89930128,  1.47051632])"
363,3327,"array([-0.9037908 ,  1.48330441])"
364,3410,"array([-0.86463169,  1.49847224])"
365,3443,"array([-0.8179431 ,  1.47887837])"
366,3605,"array([-0.90674532,  1.47863502])"
367,3610,"array([-0.8452654 ,  1.44599503])"
368,3665,"array([-0.90397943,  1.50263724])"
369,3680,"array([-0.90906245,  1.48693823])"
370,3691,"array([-0.8993145 ,  1.47966256])"
371,3699,"array([-0.84010419,  1.49901798])"
372,3701,"array([-0.9006862 ,  1.48084154])"
373,3717,"array([-0.90869742,  1.47897429])"
374,3851,"array([-0.88196512,  1.45742573])"
375,3901,"array([-0.8856634 ,  1.49292927])"
376,3929,"array([-0.88100707,  1.45413944])"
377,4121,"array([-0.87136088,  1.50165856])"
378,4126,"array([-0.89242249,  1.50254455])"
379,4246,"array([-0.89591806,  1.50323655])"
380,4295,"array([-0.85636326,  1.47401757])"
381,4307,"array([-0.83136292,  1.48191212])"
382,4331,"array([-0.86624925,  1.46853078])"
383,4488,"array([-0.84757602,  1.51656917])"
384,4600,"array([-0.82862455,  1.51663601])"
385,4676,"array([-0.87510986,  1.4647991 ])"
386,4693,"array([-0.90808574,  1.46062006])"
387,4706,"array([-0.90292996,  1.48987248])"
388,4801,"array([-0.81990084,  1.48675419])"
389,4804,"array([-0.83796188,  1.45928227])"
390,4806,"array([-0.81663601,  1.48141614])"
391,5024,"array([-0.88392808,  1.51695415])"
392,5043,"array([-0.82064177,  1.47080847])"
393,5068,"array([-0.87054716,  1.50889991])"
394,5102,"array([-0.89824425,  1.51168561])"
395,5146,"array([-0.84850549,  1.51526275])"
396,5149,"array([-0.86257577,  1.43529208])"
397,5227,"array([-0.86477104,  1.51824745])"
398,5228,"array([-0.88003287,  1.50595606])"
399,5256,"array([-0.89621577,  1.49762372])"
400,5259,"array([-0.88643356,  1.46084784])"
401,5348,"array([-0.86676182,  1.46604815])"
402,5400,"array([-0.87501856,  1.47746973])"
403,5471,"array([-0.85467284,  1.45189909])"
404,5504,"array([-0.9054061 ,  1.42915333])"
405,5665,"array([-0.85912821,  1.50417003])"
406,5786,"array([-0.8692173 ,  1.47957186])"
407,5831,"array([-0.84352609,  1.44566657])"
408,5918,"array([-0.83541471,  1.47287683])"
409,5924,"array([-0.81680792,  1.48465709])"
410,5953,"array([-0.83687826,  1.44954408])"
411,6027,"array([-0.81826896,  1.4882314 ])"
412,6178,"array([-0.91773482,  1.49196458])"
413,6336,"array([-0.88068134,  1.50934848])"
414,6388,"array([-0.84305361,  1.51139081])"
415,6396,"array([-0.8788961,  1.4674125])"
416,6430,"array([-0.91436318,  1.50735694])"
417,6455,"array([-0.8642172,  1.4726979])"
418,6463,"array([-0.81834558,  1.46813729])"
419,6557,"array([-0.85538616,  1.48552794])"
420,6645,"array([-0.85746429,  1.44984892])"
421,6650,"array([-0.87222566,  1.48996927])"
422,6652,"array([-0.88848877,  1.4547257 ])"
423,6659,"array([-0.82138276,  1.45668518])"
424,6736,"array([-0.83173362,  1.4846888 ])"
425,6783,"array([-0.84266955,  1.4565655 ])"
426,6784,"array([-0.83491134,  1.48393644])"
427,6897,"array([-0.81745243,  1.47618351])"
428,6948,"array([-0.84319261,  1.44987175])"
429,7003,"array([-0.83111848,  1.47999502])"
430,7016,"array([-0.86269466,  1.50622363])"
431,7017,"array([-0.8542447 ,  1.50006741])"
432,7138,"array([-0.85578006,  1.47511231])"
433,7269,"array([-0.84643369,  1.45047632])"
434,7298,"array([-0.83069646,  1.48652993])"
435,7315,"array([-0.8341379 ,  1.45584349])"
436,7426,"array([-0.91076501,  1.44740606])"
437,7,"array([-0.87984541,  1.48496721])"
438,69,"array([-0.89328676,  1.47476434])"
439,183,"array([-0.89921671,  1.47293695])"
440,207,"array([-0.89986   ,  1.48316079])"
441,1014,"array([-0.86671033,  1.49046925])"
442,2280,"array([-0.87331886,  1.49562637])"
443,2282,"array([-0.87698986,  1.46176835])"
444,2610,"array([-0.83719373,  1.47031866])"
445,43,"array([-0.88544255,  1.47944472])"
446,78,"array([-0.88341411,  1.49225991])"
447,86,"array([-0.8674151 ,  1.46990162])"
448,92,"array([-0.89516207,  1.47964197])"
449,101,"array([-0.90979533,  1.47495232])"
450,108,"array([-0.90012546,  1.47012141])"
451,155,"array([-0.88278009,  1.49766905])"
452,163,"array([-0.89270248,  1.49689953])"
453,186,"array([-0.89872115,  1.48078496])"
454,187,"array([-0.8932759 ,  1.47180984])"
455,198,"array([-0.88460791,  1.47295883])"
456,214,"array([-0.89966653,  1.46663664])"
457,223,"array([-0.87599313,  1.46081281])"
458,240,"array([-0.89405746,  1.48481225])"
459,294,"array([-0.8922685 ,  1.47589232])"
460,321,"array([-0.91156682,  1.49303457])"
461,332,"array([-0.90105185,  1.47190122])"
462,333,"array([-0.89790408,  1.47643176])"
463,336,"array([-0.90917843,  1.46812009])"
464,380,"array([-0.90197861,  1.43888486])"
465,381,"array([-0.90947319,  1.4721978 ])"
466,425,"array([-0.88564248,  1.47123891])"
467,426,"array([-0.88233886,  1.49018615])"
468,431,"array([-0.92482648,  1.46921185])"
469,604,"array([-0.89978242,  1.48224008])"
470,608,"array([-0.90377416,  1.47289268])"
471,617,"array([-0.90785177,  1.47558381])"
472,633,"array([-0.90177259,  1.48772421])"
473,647,"array([-0.90720692,  1.47113815])"
474,649,"array([-0.908129  ,  1.45812706])"
475,654,"array([-0.89305923,  1.46220432])"
476,670,"array([-0.88839427,  1.47382845])"
477,698,"array([-0.90390714,  1.47997587])"
478,701,"array([-0.88478291,  1.46620305])"
479,703,"array([-0.89869202,  1.44423444])"
480,745,"array([-0.90632593,  1.47985644])"
481,796,"array([-0.91271754,  1.44483009])"
482,817,"array([-0.8869823 ,  1.47948936])"
483,827,"array([-0.90049523,  1.50411007])"
