# index, name, _pos
242,811,"array([4.20182565, 0.95546774])"
243,816,"array([4.19733398, 0.96045292])"
244,821,"array([4.20090088, 0.97294758])"
245,838,"array([4.1929166 , 0.96675936])"
246,839,"array([4.20100307, 0.95782164])"
247,842,"array([4.20136955, 0.97130196])"
248,862,"array([4.19484189, 0.95947164])"
249,872,"array([4.19577558, 0.96511665])"
250,900,"array([4.19128968, 0.94981161])"
251,905,"array([4.1918397 , 0.95811757])"
252,912,"array([4.1948975 , 0.96358826])"
253,926,"array([4.19895012, 0.96118621])"
254,928,"array([4.19578154, 0.96726293])"
255,935,"array([4.19606364, 0.96012275])"
256,937,"array([4.19118772, 0.96803842])"
257,946,"array([4.19921853, 0.95813218])"
258,952,"array([4.19742556, 0.96958968])"
259,954,"array([4.19711937, 0.95987634])"
260,960,"array([4.19595066, 0.96313166])"
261,967,"array([4.19328316, 0.96748259])"
262,971,"array([4.19291711, 0.96342275])"
263,976,"array([4.19407013, 0.95766914])"
264,989,"array([4.17817493, 0.96804306])"
265,990,"array([4.19223921, 0.96832421])"
266,993,"array([4.19997722, 0.95647751])"
267,995,"array([4.19887943, 0.9598486 ])"
268,997,"array([4.19148484, 0.95986771])"
269,1002,"array([4.20480653, 0.97250375])"
270,1017,"array([4.1991693 , 0.96144948])"
271,1024,"array([4.19350929, 0.96365185])"
272,1029,"array([4.19495866, 0.9683298 ])"
273,1037,"array([4.20037564, 0.96790399])"
274,1041,"array([4.19503366, 0.96140653])"
275,1052,"array([4.19515263, 0.95920341])"
276,1058,"array([4.21957382, 0.95813279])"
277,1066,"array([4.20968259, 0.9601867 ])"
278,1068,"array([4.20776415, 0.96709844])"
279,1076,"array([4.20704843, 0.95422094])"
280,1077,"array([4.19966844, 0.95418181])"
281,1084,"array([4.188233  , 0.96729174])"
282,1086,"array([4.19034685, 0.96324596])"
283,1088,"array([4.20110516, 0.9605502 ])"
284,1094,"array([4.19767537, 0.96406389])"
285,1102,"array([4.19387144, 0.95674837])"
286,1103,"array([4.19620096, 0.96296186])"
287,1111,"array([4.19598287, 0.96564586])"
288,1118,"array([4.19478201, 0.96162771])"
289,1125,"array([4.19200525, 0.96225279])"
290,1126,"array([4.19418327, 0.96592632])"
291,1130,"array([4.19237015, 0.96228051])"
292,1148,"array([4.19448887, 0.95309444])"
293,1153,"array([4.19178096, 0.95450979])"
294,1164,"array([4.20675041, 0.98159639])"
295,1166,"array([4.19822505, 0.95343893])"
296,1170,"array([4.20345091, 0.96457464])"
297,1173,"array([4.19667499, 0.96559581])"
298,1175,"array([4.19775208, 0.96042276])"
299,1176,"array([4.19157032, 0.96227297])"
300,1185,"array([4.19656569, 0.96705831])"
301,1186,"array([4.1953731 , 0.96137774])"
302,1189,"array([4.19262313, 0.97631527])"
303,1192,"array([4.20156848, 0.96455745])"
304,1206,"array([4.20321974, 0.96591964])"
305,1216,"array([4.19529747, 0.96537665])"
306,1218,"array([4.19949698, 0.96843963])"
307,1219,"array([4.19810756, 0.96456707])"
308,1225,"array([4.19243529, 0.95996799])"
309,1228,"array([4.19482496, 0.95987069])"
310,1248,"array([4.19685727, 0.94017826])"
311,1255,"array([4.19796915, 0.96210563])"
312,1261,"array([4.18812306, 0.96766978])"
313,1262,"array([4.19696023, 0.96532006])"
314,1265,"array([4.19453733, 0.96149322])"
315,1275,"array([4.19518358, 0.96860454])"
316,1281,"array([4.19461084, 0.96187204])"
317,1283,"array([4.20226858, 0.96296418])"
318,1286,"array([4.19991622, 0.96297878])"
319,1287,"array([4.19530257, 0.96319506])"
320,1294,"array([4.1965863 , 0.96524873])"
321,1295,"array([4.19613222, 0.95948207])"
322,1296,"array([4.19191164, 0.96350829])"
323,1306,"array([4.20069077, 0.96642696])"
324,1316,"array([4.20643731, 0.96442386])"
325,1317,"array([4.20185939, 0.95828187])"
326,1322,"array([4.2146209 , 0.96850711])"
327,1326,"array([4.19994945, 0.96566988])"
328,1330,"array([4.2000362 , 0.96123839])"
329,1342,"array([4.1904399 , 0.95882373])"
330,1356,"array([4.19726822, 0.96079405])"
331,1359,"array([4.18937262, 0.95871252])"
332,1367,"array([4.19262904, 0.96316821])"
333,1372,"array([4.19165095, 0.96565158])"
334,1377,"array([4.20027446, 0.97029829])"
335,1384,"array([4.19637343, 0.96414128])"
336,1391,"array([4.21227681, 0.95118572])"
337,1402,"array([4.18782109, 0.96403288])"
338,1404,"array([4.1939716 , 0.96512023])"
339,1431,"array([4.18868325, 0.96219622])"
340,1439,"array([4.19505433, 0.95972243])"
341,1445,"array([4.19239676, 0.95354149])"
342,1447,"array([4.19731861, 0.96663393])"
343,1449,"array([4.20291573, 0.96285422])"
344,1473,"array([4.1994998 , 0.95897061])"
345,1476,"array([4.19412297, 0.96759649])"
346,1480,"array([4.1975703 , 0.96902318])"
347,1486,"array([4.22042683, 0.96395895])"
348,1503,"array([4.19633484, 0.95649909])"
349,1507,"array([4.19374758, 0.96302853])"
350,1516,"array([4.19223771, 0.96282597])"
351,1517,"array([4.19784335, 0.96007251])"
352,1525,"array([4.19108786, 0.96641062])"
353,1529,"array([4.20162102, 0.96602729])"
354,1530,"array([4.20030309, 0.96727605])"
355,1532,"array([4.19818412, 0.96174187])"
356,1537,"array([4.18824392, 0.96352059])"
357,1545,"array([4.19887115, 0.96195881])"
358,1547,"array([4.20066777, 0.96374157])"
359,1550,"array([4.18774527, 0.96983668])"
360,1562,"array([4.19705524, 0.96261226])"
361,1567,"array([4.19960501, 0.96725883])"
362,1573,"array([4.19825408, 0.96393885])"
363,1580,"array([4.19630089, 0.94965799])"
364,1582,"array([4.20218257, 0.96520664])"
365,1583,"array([4.19201439, 0.9548044 ])"
366,1585,"array([4.19181011, 0.95728012])"
367,1587,"array([4.19147273, 0.96582511])"
368,1596,"array([4.19109366, 0.95799516])"
369,1599,"array([4.19775297, 0.97071875])"
370,1605,"array([4.2005786 , 0.97367055])"
371,1613,"array([4.21290255, 0.97455872])"
372,1641,"array([4.19742394, 0.97193764])"
373,1652,"array([4.2064855 , 0.95939279])"
374,1670,"array([4.19580386, 0.96821364])"
375,1674,"array([4.19572133, 0.96339097])"
376,1682,"array([4.20399492, 0.9467753 ])"
377,1686,"array([4.19285526, 0.94104994])"
378,1708,"array([4.20338721, 0.95894181])"
379,1716,"array([4.19864715, 0.95067373])"
380,1724,"array([4.20414182, 0.95513804])"
381,1736,"array([4.19267752, 0.97012733])"
382,1748,"array([4.19426744, 0.96629819])"
383,1751,"array([4.21055733, 0.97930109])"
384,1757,"array([4.19605354, 0.95921002])"
385,1761,"array([4.19753262, 0.96820328])"
