# index, name, _pos
219,2335,"array([ 1.72401443, -0.44346663])"
220,2339,"array([ 1.66204753, -0.45871912])"
221,2355,"array([ 1.65404249, -0.4010557 ])"
222,2418,"array([ 1.66523534, -0.46520906])"
223,2430,"array([ 1.71403593, -0.41395405])"
224,2495,"array([ 1.68231702, -0.4045515 ])"
225,2499,"array([ 1.66434635, -0.46198185])"
226,2547,"array([ 1.70904125, -0.4746745 ])"
227,2606,"array([ 1.6977933 , -0.42822739])"
228,2630,"array([ 1.70507471, -0.46020649])"
229,2754,"array([ 1.66608757, -0.47957629])"
230,2784,"array([ 1.69168689, -0.4179185 ])"
231,2797,"array([ 1.70532766, -0.42438807])"
232,2837,"array([ 1.68808109, -0.46508173])"
233,2870,"array([ 1.7040726 , -0.39202907])"
234,2892,"array([ 1.68522544, -0.47939654])"
235,2908,"array([ 1.65615599, -0.46929176])"
236,3066,"array([ 1.68092859, -0.39560498])"
237,3145,"array([ 1.6369255 , -0.46780708])"
238,6,"array([ 1.62009028, -0.5006229 ])"
239,8,"array([ 1.62091503, -0.47167869])"
240,11,"array([ 1.63573287, -0.4005924 ])"
241,29,"array([ 1.63964346, -0.45125083])"
242,30,"array([ 1.66174238, -0.48183414])"
243,37,"array([ 1.64038217, -0.43116715])"
244,43,"array([ 1.65757607, -0.40779766])"
245,54,"array([ 1.64635413, -0.43799693])"
246,57,"array([ 1.66156631, -0.42017026])"
247,65,"array([ 1.66331326, -0.487235  ])"
248,86,"array([ 1.62148873, -0.44217728])"
249,94,"array([ 1.64886508, -0.43499302])"
250,98,"array([ 1.6455036 , -0.43031387])"
251,101,"array([ 1.65193267, -0.41677115])"
252,106,"array([ 1.64040858, -0.41800662])"
253,108,"array([ 1.65274507, -0.43864807])"
254,112,"array([ 1.67898824, -0.45504323])"
255,113,"array([ 1.61644647, -0.49920973])"
256,116,"array([ 1.68415107, -0.42555583])"
257,123,"array([ 1.63516742, -0.45319365])"
258,145,"array([ 1.66165785, -0.43151277])"
259,147,"array([ 1.64480444, -0.45098536])"
260,155,"array([ 1.66177267, -0.41257976])"
261,171,"array([ 1.63343671, -0.42737158])"
262,173,"array([ 1.64735338, -0.45641581])"
263,179,"array([ 1.64678545, -0.41735261])"
264,184,"array([ 1.66228446, -0.45438384])"
265,185,"array([ 1.67820861, -0.49573785])"
266,203,"array([ 1.63642407, -0.40516378])"
267,209,"array([ 1.64301026, -0.45821096])"
268,211,"array([ 1.6522754 , -0.43165231])"
269,214,"array([ 1.62584684, -0.44181102])"
270,215,"array([ 1.64978428, -0.42036503])"
271,222,"array([ 1.64990684, -0.45435545])"
272,231,"array([ 1.63825587, -0.40974283])"
273,232,"array([ 1.63036462, -0.47614739])"
274,245,"array([ 1.64674605, -0.43141858])"
275,246,"array([ 1.64768078, -0.41392189])"
276,251,"array([ 1.65352952, -0.44392248])"
277,256,"array([ 1.66445227, -0.45650633])"
278,273,"array([ 1.67438484, -0.47371803])"
279,276,"array([ 1.67622728, -0.49278556])"
280,280,"array([ 1.66149862, -0.42434   ])"
281,291,"array([ 1.63949049, -0.43673542])"
282,292,"array([ 1.66520089, -0.44190582])"
283,297,"array([ 1.65315656, -0.46890228])"
284,301,"array([ 1.62752711, -0.45694501])"
285,303,"array([ 1.62191874, -0.43302513])"
286,313,"array([ 1.65651524, -0.45141603])"
287,324,"array([ 1.61820911, -0.43305324])"
288,335,"array([ 1.66004   , -0.44863135])"
289,344,"array([ 1.63503762, -0.43584451])"
290,345,"array([ 1.67615593, -0.42484027])"
291,346,"array([ 1.64533367, -0.44325388])"
292,365,"array([ 1.63530942, -0.45022173])"
293,368,"array([ 1.63251361, -0.47218685])"
294,370,"array([ 1.65392444, -0.43007107])"
295,372,"array([ 1.64758517, -0.45381713])"
296,378,"array([ 1.66919106, -0.43537163])"
297,386,"array([ 1.66949691, -0.47087656])"
298,405,"array([ 1.64942308, -0.43658357])"
299,413,"array([ 1.6462973 , -0.42825703])"
300,425,"array([ 1.64512213, -0.4049716 ])"
301,431,"array([ 1.64302864, -0.44419958])"
302,445,"array([ 1.62444435, -0.48671377])"
303,448,"array([ 1.62960158, -0.44486447])"
304,450,"array([ 1.63280584, -0.43611316])"
305,451,"array([ 1.69153363, -0.47752497])"
306,489,"array([ 1.67479176, -0.42659476])"
307,492,"array([ 1.63018388, -0.47305565])"
308,528,"array([ 1.65331065, -0.43719399])"
309,529,"array([ 1.62321008, -0.44415779])"
310,530,"array([ 1.65938332, -0.45548176])"
311,541,"array([ 1.68481248, -0.43644605])"
312,546,"array([ 1.67020416, -0.43333295])"
313,559,"array([ 1.63939528, -0.46611029])"
314,574,"array([ 1.65870795, -0.41974652])"
315,581,"array([ 1.68577839, -0.43934876])"
316,597,"array([ 1.6583834 , -0.45016345])"
317,601,"array([ 1.65094918, -0.43015193])"
318,611,"array([ 1.61220894, -0.4750844 ])"
319,612,"array([ 1.65855992, -0.44250074])"
320,615,"array([ 1.62354459, -0.44058302])"
321,616,"array([ 1.67331884, -0.4402601 ])"
