# index, name, _pos
187,2860,"array([ 2.83743362, -0.9439942 ])"
188,2872,"array([ 2.84564233, -0.88928392])"
189,2890,"array([ 2.82425758, -0.93446152])"
190,2896,"array([ 2.83953809, -0.91813431])"
191,2935,"array([ 2.79293762, -0.88953273])"
192,2939,"array([ 2.86635174, -0.93310234])"
193,2948,"array([ 2.81404025, -0.90901317])"
194,2994,"array([ 2.80854411, -0.92967749])"
195,2996,"array([ 2.85312429, -0.93655418])"
196,3025,"array([ 2.80258118, -0.926968  ])"
197,3035,"array([ 2.86141243, -0.93817638])"
198,3052,"array([ 2.80525696, -0.92819899])"
199,3053,"array([ 2.84528529, -0.84963761])"
200,3096,"array([ 2.80101344, -0.8762127 ])"
201,3101,"array([ 2.86857128, -0.97314432])"
202,3148,"array([ 2.88700723, -0.95241941])"
203,3157,"array([ 2.95350636, -0.91103494])"
204,3204,"array([ 2.88018586, -0.93125266])"
205,3252,"array([ 2.90152156, -0.93477918])"
206,3286,"array([ 2.79860653, -0.9047885 ])"
207,3319,"array([ 2.82646117, -0.85387397])"
208,3363,"array([ 2.8098534 , -0.90283691])"
209,3368,"array([ 2.84987427, -0.92059231])"
210,3382,"array([ 2.93430163, -0.9435857 ])"
211,3404,"array([ 2.90745837, -0.94056546])"
212,3408,"array([ 2.80856365, -0.91634512])"
213,3448,"array([ 2.85002916, -0.93268227])"
214,3450,"array([ 2.86005304, -0.85507815])"
215,3474,"array([ 2.93387993, -0.90140972])"
216,3490,"array([ 2.79879468, -0.91685858])"
217,3498,"array([ 2.81566069, -0.93631629])"
218,3504,"array([ 2.9359101 , -0.93771237])"
219,3539,"array([ 2.87910033, -0.92417812])"
220,3570,"array([ 2.84459  , -0.9185669])"
221,3587,"array([ 2.85235068, -0.94514146])"
222,3595,"array([ 2.80586725, -0.95442937])"
223,3596,"array([ 2.94231711, -0.88850102])"
224,3603,"array([ 2.82284848, -0.90984994])"
225,3633,"array([ 2.82794812, -0.90939875])"
226,3674,"array([ 2.83759843, -0.96425048])"
227,3675,"array([ 2.87037799, -0.93317014])"
228,3676,"array([ 2.85537785, -0.84953046])"
229,3692,"array([ 2.83546676, -0.91297662])"
230,3734,"array([ 2.93330401, -0.89538601])"
231,3784,"array([ 2.81198452, -0.94185178])"
232,3825,"array([ 2.8715387 , -0.93975019])"
233,3827,"array([ 2.9108307 , -0.86331316])"
234,3859,"array([ 2.80279997, -0.88919719])"
235,3885,"array([ 2.86242   , -0.95628977])"
236,3893,"array([ 2.78148526, -0.88596426])"
237,3909,"array([ 2.86625207, -0.94887501])"
238,3917,"array([ 2.90448977, -0.9318213 ])"
239,3934,"array([ 2.84377921, -0.97704434])"
240,3948,"array([ 2.87607203, -0.96515321])"
241,3951,"array([ 2.86601899, -0.87513937])"
242,3976,"array([ 2.8299413 , -0.94760937])"
243,3989,"array([ 2.81590481, -0.90884304])"
244,4016,"array([ 2.86299124, -0.91362688])"
245,4019,"array([ 2.81660893, -0.88655705])"
246,4076,"array([ 2.85948744, -0.91284452])"
247,4088,"array([ 2.83937751, -0.90802338])"
248,4114,"array([ 2.87702587, -0.94988859])"
249,4149,"array([ 2.91221101, -0.83947193])"
250,4224,"array([ 2.88386922, -0.92381843])"
251,4235,"array([ 2.84590285, -0.93905897])"
252,4265,"array([ 2.78103283, -0.90615042])"
253,4278,"array([ 2.8266147 , -0.90019983])"
254,4302,"array([ 2.84477069, -0.85873178])"
255,4312,"array([ 2.78224866, -0.92204906])"
256,4328,"array([ 2.81286572, -0.98239078])"
257,4333,"array([ 2.83113789, -0.84999964])"
258,4402,"array([ 2.84547259, -0.83645793])"
259,4429,"array([ 2.88262951, -0.92863373])"
260,4432,"array([ 2.86128154, -0.90091166])"
261,4449,"array([ 2.86621399, -0.93986382])"
262,4483,"array([ 2.84359882, -0.85167136])"
263,4491,"array([ 2.85669921, -0.9406908 ])"
264,4507,"array([ 2.79971192, -0.91212293])"
265,4516,"array([ 2.91593437, -0.93573442])"
266,4521,"array([ 2.82934042, -0.90087569])"
267,4587,"array([ 2.76487352, -0.93363518])"
268,4591,"array([ 2.96664942, -0.91709221])"
269,4595,"array([ 2.81093621, -0.96739243])"
270,4601,"array([ 2.93660242, -0.88532287])"
271,4647,"array([ 2.93464508, -0.92496656])"
272,4665,"array([ 2.82737229, -0.82997762])"
273,4666,"array([ 2.91635275, -0.92827062])"
274,4667,"array([ 2.84542289, -0.83977501])"
275,4676,"array([ 2.81743441, -0.9864254 ])"
276,4679,"array([ 2.94730726, -0.90851403])"
277,4681,"array([ 2.9144226 , -0.93240419])"
278,4696,"array([ 2.8281137 , -0.89849283])"
279,4727,"array([ 2.81433296, -0.92826027])"
280,4737,"array([ 2.85331001, -0.95250796])"
281,4745,"array([ 2.92349627, -0.95098993])"
282,4783,"array([ 2.82304489, -0.96273095])"
